;index;CODGEO;LIBGEO;ZE2020;LIBZE2020;latitude;longitude
230;26112;7001;Achenheim, France;4205;Strasbourg;48.5778611;7.6249659
231;26114;7003;Albé, France;4204;Sélestat;48.3565749;7.3194249
232;26116;7005;Alteckendorf, France;4201;Haguenau;48.7925005;7.5967333
233;26626;8001;Algolsheim, France;4207;Colmar;48.0052375;7.5606558
234;26627;8002;Altenach, France;4208;Mulhouse;47.6062303;7.1123626
235;26637;8013;Attenschwiller, France;4209;Saint-Louis;47.5658426;7.4638015
236;27272;14;Amblans-et-Velotte, France;4302;Belfort;47.6797516;6.4093054
237;27799;1002;L'Abergement-Sainte-Colombe, France;2608;Chalon-sur-Saône;46.7526409;5.0076696
238;27814;1017;Ballore, France;2610;Creusot-Montceau;46.5385897;4.3663611
239;28363;2001;Aigné, France;5213;Le Mans;48.0652788;0.1191661
240;28381;2020;Avezé, France;5211;La Ferté-Bernard;48.226103;0.6789098
241;28717;3001;Aiguebelette-le-Lac, France;8216;Chambéry;45.5376018;5.8149064
242;28718;3003;Grand-Aigueblanche, France;8215;La Tarentaise;45.4990371;6.497122
243;28724;3010;Entrelacs, France;8218;Annecy;45.7855514;5.9450633
244;28726;3012;Albiez-le-Jeune, France;8217;La Maurienne;45.2451482;6.3511853
245;28790;3088;Cohennoz, France;8221;Le Mont Blanc;45.7572595;6.4813931
246;28990;4001;Abondance, France;8222;Le Chablais;46.280661;6.7198574
247;29002;4014;Arâches-la-Frasse, France;8220;La Vallée de l'Arve;46.0433244;6.6317862
248;29269;5056;Paris, France;1101;Paris;48.8588897;2.3200410217200766
249;29270;6001;Allouville-Bellefosse, France;2306;Yvetot-Vallée du Commerce;49.5955366;0.6769743
250;29272;6004;Ambrumesnil, France;2305;Dieppe-Caux maritime;49.8579786;0.9954325
251;29279;6011;Ancretteville-sur-Mer, France;2306;Le Havre;49.7889591;0.5116878
252;29295;6028;Aubéguimont, France;55;La Vallée de la Bresle-Vimeu;49.8077646;1.6727687
253;29978;7001;Achères-la-Forêt, France;1105;Fontainebleau-Nemours;48.3574718;2.5604895
254;29979;7002;Amillis, France;1103;Coulommiers;48.7410773;3.1284825
255;29981;7004;Andrezel, France;1105;Melun;48.6112435;2.8135847
256;29982;7005;Annet-sur-Marne, France;56;Meaux;48.9263555;2.7189327
257;29989;7012;Augers-en-Brie, France;1108;Provins;48.6794001;3.3563008
258;29994;7018;Bailly-Romainvilliers, France;1102;Marne-la-Vallée;48.8468159;2.8212923
259;30041;7067;Cesson, France;1105;Evry;48.5624381;2.6021145
260;30089;7118;Claye-Souilly, France;56;Roissy;48.9460871;2.6883703
261;30485;8003;Ablis, France;1112;Rambouillet;48.517153;1.8368758
262;30486;8005;Achères, France;2401;Seine-Yvelinoise;47.2774561;2.4491821
263;30487;8006;Adainville, France;1112;Versailles-Saint-Quentin;48.7223394;1.6514132
264;30630;8382;Maurecourt, France;1111;Cergy-Vexin;48.9975159;2.0625234
265;30744;9001;L'Absie, France;5412;Bressuire;46.6325826;-0.5775079
266;30747;9005;Airvault, France;5401;Thouars;46.821993750000004;-0.1368880662471918
267;30876;9177;Messé, France;5410;Poitiers;46.2650568;0.1142686
268;31000;1;Abbeville, France;2209;Abbeville;50.1060835;1.8337029
269;31002;3;Acheux-en-Amiénois, France;2210;Amiens;50.0728994;2.5306202
270;32282;3002;Aiguines, France;9313;Draguignan;43.7757324;6.2434829
271;32288;3008;Bagnols-en-Forêt, France;9314;Fréjus;43.5376002;6.6981788
272;32289;3009;Bandol, France;9315;Toulon;43.1357717;5.7523647
273;32292;3012;Barjols, France;9308;Brignoles;43.558133;6.0056803
274;32315;3036;Cavalaire-sur-Mer, France;9314;Sainte-Maxime;43.1722952;6.531917
275;32437;4004;Aubignan, France;59;Carpentras;44.0991698;5.0242503
276;32460;4027;Caderousse, France;9317;Orange;44.1025641;4.7571511
277;32585;5001;L'Aiguillon-sur-Mer, France;5218;Fontenay-le-Comte;46.3344721;-1.3076557
278;32587;5003;Aizenay, France;5218;La Roche-sur-Yon;46.7391797;-1.6084351
279;32593;5010;Avrillé, France;5205;Les Sables-d'Olonne;47.5045657;-0.5956539
280;32596;5013;Bazoges-en-Paillers, France;5203;Les Herbiers-Montaigu;46.9080556;-1.1327778
281;32846;6004;Angles-sur-l'Anglin, France;5402;Châtellerault;46.6954728;0.8845484
282;33304;8001;Les Ableuvenettes, France;4112;Épinal;48.1912108;6.1870579
283;33338;8037;Basse-sur-le-Rupt, France;4113;Remiremont;47.9893979;6.7680554
284;33823;9014;Arces-Dilo, France;2614;Sens;48.10499385;3.611119506927148
285;34335;1001;Abbéville-la-Rivière, France;1114;Etampes;48.3463691;2.16588
286;34337;1017;Angervilliers, France;1116;Saclay;48.59263;2.06433
287;34836;7101;Les Abymes, France;101;Région Pointoise;16.2706436;-61.5057749
288;34837;7102;Anse-Bertrand, France;106;Est Grande Terre;16.4736041;-61.5060116
289;34839;7104;Baillif, France;102;Sud Basse-Terre;16.0225079;-61.7454024
290;34841;7106;Bouillante, France;102;Côte sous le vent;16.1319557;-61.7699572
291;34843;7108;Capesterre-de-Marie-Galante, France;103;Marie-Galante;15.8927458;-61.221592
292;34868;7201;L'Ajoupa-Bouillon, France;206;Le Nord-Atlantique;14.8242849;-61.1137325
293;34869;7202;Les Anses-d'Arlet, France;202;Le Sud-Caraibe;14.4913595;-61.0787615
294;34871;7204;Le Carbet, France;205;Le Nord-Caraibe;14.7122059;-61.1834327
295;34876;7209;Fort-de-France, France;201;Le Centre agglomération;14.6027962;-61.0676724
296;34877;7210;Le François, France;203;Le Sud;14.6149952;-60.9028968
297;34879;7212;Gros-Morne, France;204;Le Centre-Atlantique;14.709959;-61.0060107
298;34902;7301;Régina, France;301;Est-littoral;4.3125906;-52.1324061
299;34904;7303;Iracoubo, France;302;Savanes;5.4794424;-53.2057374
300;34907;7306;Mana, France;303;Ouest-Guyanais;43.0809157;0.9435645291833834
301;34924;7401;Les Avirons, France;404;Le Sud;-21.2423582;55.3357911
302;34925;7402;Bras-Panon, France;401;L'Est;-20.9987435;55.6847941
303;34930;7407;Le Port, France;403;L'Ouest;42.8662832;1.3740316
304;34934;7411;Saint-Denis, France;402;Le Nord;48.935773;2.3580232
305;34948;7601;Acoua, France;601;Mayotte;-12.7243245;45.0589372
